date,region,sku,units,unit_price_usd
2026-02-27,south,WGT-200,4,6.88
2026-02-27,south,CBL-220,32,94.20
2026-02-27,south,GAD-050,22,21.29
2026-02-27,south,WGT-200,26,171.64
2026-02-27,south,BRK-990,37,49.82
2026-02-28,south,WGT-200,26,115.18
2026-02-28,south,"CABLE PACK, 3M/5M",26,47.48
2026-02-28,south,CBL-220,5,126.11
2026-02-28,south,CBL-220,13,95.02
2026-02-28,south,GAD-050,1,239.18
2026-02-28,south,BRK-990,29,94.36
2026-02-28,south,THB-300,17,11.54
2026-02-28,south,WGT-100,29,65.82
2026-02-28,south,GAD-075,34,116.65
2026-02-28,south,GAD-050,2,50.31
2026-02-28,south,CBL-220,39,26.78
